video,frame,is_multi_label,triplet_id,triplet_label,instrument_id,instrument,verb_id,verb,target_id,target,is_valid,num_triplets_in_frame
5,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,1,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,2,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,3,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,4,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,5,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,6,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,7,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,8,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,1
5,9,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,2
5,9,True,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,2
5,10,True,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,2
5,10,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,2
5,11,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,12,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,13,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,14,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,15,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,16,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,17,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,18,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
5,19,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,True,1
