video,frame,timestamp_sec,entry_index,is_multi_label,triplet_id,triplet_label,instrument_id,instrument,verb_id,verb,target_id,target,phase_id,phase,is_valid,is_null,num_triplets_in_frame
VID05,0,0.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,1,1.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,2,2.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,3,3.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,4,4.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,5,5.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,6,6.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,7,7.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,8,8.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,1
VID05,9,9.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,9,9.0,1,True,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,2
VID05,10,10.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,10,10.0,1,True,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,2
VID05,11,11.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,12,12.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,13,13.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,14,14.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,15,15.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,16,16.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,17,17.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,18,18.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,19,19.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,20,20.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,21,21.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,22,22.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,24,24.0,0,False,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,1
VID05,25,25.0,0,False,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,1
VID05,26,26.0,0,False,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,1
VID05,27,27.0,0,False,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,1
VID05,28,28.0,0,False,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,1
VID05,29,29.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,29,29.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,30,30.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,30,30.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,31,31.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,31,31.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,32,32.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,32,32.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,33,33.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,33,33.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,34,34.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,34,34.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,35,35.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,35,35.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,36,36.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,36,36.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,37,37.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,37,37.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,38,38.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,38,38.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,39,39.0,0,True,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,0,preparation,True,False,2
VID05,39,39.0,1,True,94,"grasper,null_verb,null_target",0,grasper,9,null_verb,14,null_target,0,preparation,True,True,2
VID05,40,40.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,41,41.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,42,42.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
VID05,43,43.0,0,False,20,"grasper,retract,omentum",0,grasper,1,retract,10,omentum,0,preparation,True,False,1
