video,frame,timestamp_sec,entry_index,is_multi_label,triplet_id,triplet_label,instrument_id,instrument,verb_id,verb,target_id,target,is_valid,is_null,num_triplets_in_frame
VID40,54,54.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,55,55.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,56,56.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,58,58.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,165,165.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,166,166.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,167,167.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,168,168.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,169,169.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,170,170.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,171,171.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,172,172.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,173,173.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,174,174.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,215,215.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,216,216.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,218,218.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,219,219.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,220,220.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
VID40,221,221.0,0,False,17,"grasper,retract,gallbladder",0,grasper,1,retract,0,gallbladder,True,False,1
