video,frame,is_multi_label,triplet_id,triplet_label,instrument_id,instrument,verb_id,verb,target_id,target,is_valid,num_triplets_in_frame
1,0,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,1,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,2,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,3,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,4,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,10,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,11,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,12,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,13,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,14,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,15,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,16,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,17,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,18,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,19,False,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,1
1,20,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,20,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,21,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,21,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,22,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,22,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,23,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,23,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,24,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,24,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,25,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,25,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,26,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,26,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,27,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,27,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,28,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,28,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,29,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,29,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,30,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,30,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,31,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,31,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,32,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,32,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,33,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,33,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,34,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,34,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,35,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,35,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,36,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,36,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,37,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,37,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,38,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,38,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,39,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,39,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,40,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,40,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,41,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,41,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,42,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,42,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,43,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,43,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,44,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,44,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,45,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,45,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,46,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,46,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,47,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,47,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,48,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,48,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,49,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,49,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,50,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,50,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,51,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,51,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,52,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,52,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,53,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,53,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,54,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,54,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,55,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,55,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,56,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,56,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,57,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,57,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,58,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,58,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,59,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,59,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,60,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,60,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,61,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,61,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,62,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,62,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,63,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,63,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,64,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,64,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,65,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,65,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,66,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,66,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,67,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,67,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,68,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,68,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,69,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,69,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,70,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,70,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,71,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,71,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,72,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
1,72,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,73,True,96,"hook,null_verb,null_target",2,hook,9,null_verb,14,null_target,True,2
1,73,True,7,"grasper,grasp,gallbladder",0,grasper,0,grasp,0,gallbladder,True,2
